	Metier	CHOIIX MASTER	GROUPE G	Stage M1 hors Ile de France	Période 1 ou période 2
91	IDE	QSPS	G8	non	P2
92	IDE	IFS	G9	non	P1
93	PPH	IFS	G8	non	P1
94	IDE	QSPS	G6	non	P2
95	RADIO	QSPS	G2	non	P1
96	IDE	QSPS	G7	non	P2
97	IDE	QSPS	G7	non	P1
98	IBODE	IFS	G6	non	P1
99	IDE	QSPS	G1	non	P2
100	IADE	QSPS	G1	non	P1
101	TECH LABO	QSPS	G3	non	P1
102	TECH LABO	QSPS	G1	non	P2
103	IDE	IFS	G7	non	P1
104	IDE	IFS	G4	non	P1
105	IDE	IFS	G4	non	P1
106	IDE	QSPS	G4	non	P2
107	IBODE	QSPS	G5	oui	P2
108	IDE	QSPS	G8	non	P2
109	IDE	QSPS	G3	non	P1
110	IDE	QSPS	G3	non	P2
111	IDE	QSPS	G9	non	P2
112	IBODE	QSPS	G3	non	P1
113	KINE	QSPS	G8	non	P2
114	IDE	QSPS	G7	non	P2
115	PPH	QSPS	G9	non	P2
116	RADIO	QSPS	G9	non	P1
117	IPDE	IFS	G1	non	P1
118	IDE	QSPS	G9	non	P1
119	IDE	IFS	G8	non	P1
120	IDE	QSPS	G7	non	P2
121	IDE	QSPS	G3	non	P2
122	RADIO	QSPS	G6	non	P2
123	IPDE	IFS	G9	non	P1
124	TECH LABO	QSPS	G8	non	P2
125	IDE	QSPS	G1	oui	P1
126	TECH LABO	QSPS	G3	non	P2
127	IDE	IFS	G8	non	P1
128	IDE	QSPS	G1	oui	P2
129	IDE	QSPS	G2	oui	P1
130	KINE	QSPS	G2	non	P1
131	IDE	QSPS	G6	non	P2
132	RADIO	QSPS	G7	non	P2
133	KINE	QSPS	G9	non	P1
134	IPDE	QSPS	G6	oui	P2
135	IDE	IFS	G1	non	P1
136	TECH LABO	QSPS	G2	non	P2
137	IDE	IFS	G3	non	P1
138	IPDE	QSPS	G7	non	P2
139	ORTHOPTISTE	IFS	G6	non	P1
140	PPH	QSPS	G4	non	P2
141	IDE	QSPS	G4	non	P1
142	RADIO	QSPS	G2	non	P2
143	IPDE	QSPS	G5	oui	P2
144	IDE	IFS	G2	non	P2
145	IDE	QSPS	G9	oui	P1
146	PPH	IFS	G2	non	P1
147	IDE	IFS	G8	oui	P2
148	IDE	QSPS	G6	non	P2
149	TECH LABO	QSPS	G5	oui	P2
150	IBODE	QSPS	G2	non	P1
151	IDE	QSPS	G9	non	P1
152	RADIO	QSPS	G5	non	P2
153	PPH	QSPS	G1	non	P2
154	DIET	QSPS	G4	non	P1
155	IDE	IFS	G1	non	P1
156	IDE	QSPS	G6	oui	P2
157	IDE	QSPS	G4	non	P1
158	PPH	IFS	G4	non	P1
159	IDE	QSPS	G6	non	P2
160	IDE	QSPS	G7	non	P1
161	IDE	QSPS	G5	non	P2
162	IDE	QSPS	G3	non	P1
163	IDE	QSPS	G5	non	P1
164	IDE	IFS	G5	non	P1
